id_cliente,nome,data_nascimento,cpf,estado,data_cadastro
34e2e65f-d358-4443-85b0-ef1298c09ddf,Henry Gabriel Andrade,1988-09-01,138.462.681-30,GO,2024-09-04
1c23df1d-beb8-4ac6-be0b-18d54589783a,Sr. Levi Sousa,1937-02-22,373.698.387-90,PI,2025-02-07
e3228d0a-bb96-474a-9368-8b722608590b,Luísa da Paz,1979-10-31,555.066.110-45,SC,2024-09-15
4799cece-ae0f-491d-b569-032aa20f6909,Luiz Fernando Ribeiro,1961-10-13,300.848.420-05,TO,2025-11-05
6e52a7f8-47c4-4677-888e-c661a9fe11cd,Hellena Garcia,1961-12-08,817.173.486-98,PB,2026-03-18
84489b95-a74d-4edf-a4ad-fe778456ac63,Dra. Amanda da Rocha,2005-01-17,931.410.026-02,MS,2025-02-23
03477656-10fc-45ac-a4fa-92fff2c8f049,Daniela Leão,1979-01-10,746.733.018-94,PI,2024-12-27
31e5d5c6-a5cd-421d-a646-2892c8718189,Lavínia Barros,1965-04-27,232.389.118-03,SE,2024-12-22
9ee8e414-5544-4d16-bcb8-1efd1630ab36,Sr. João Gabriel da Rocha,1967-07-30,697.275.283-16,SE,2024-11-10
09638b13-3752-43e9-ad24-67456a8db8e3,Maria Helena Silveira,1976-06-17,942.775.582-99,PI,2025-06-24
263704f4-c1c1-460e-bc9f-dcb02b1fb6e5,Caleb Macedo,1986-02-07,294.365.807-06,PA,2025-04-02
d88509a2-17df-4e6e-a460-20cb13092311,Dr. João Ramos,1956-12-31,866.182.823-27,RS,2025-11-19
1e70aa44-bf45-4c2f-b649-ee120eb9783f,Hadassa Cardoso,2002-01-14,687.920.799-35,MT,2025-12-07
104baf5f-6447-4501-b27a-b157a3d78910,Carlos Eduardo da Paz,1969-08-25,500.050.508-79,PR,2026-01-30
697af34d-3937-477d-a442-c102a59cec3f,Sabrina Barros,1950-04-10,776.092.839-69,MS,2024-09-28
ccb858d4-e01e-4277-9cac-f4d01504e51c,Heloisa Pereira,2005-04-10,141.551.852-27,ES,2025-04-01
dfa1b930-cfe9-4de6-8f4f-d0111747d664,Melina Moreira,1993-01-15,264.129.106-24,RN,2026-02-23
265b628a-dd11-4758-94d7-fa7af7641f3b,Maysa Cirino,1975-11-28,251.391.152-27,RS,2026-05-01
52873f62-1fca-45d9-922c-4afe1d8ea432,Sara Farias,2002-12-28,780.333.825-63,SC,2025-01-04
be3c2928-2837-480b-95f7-dd05eb9a42ba,Ana Vitória Correia,1998-10-18,040.641.041-14,RJ,2026-07-08
6bfedb34-541d-4598-8737-33a72bbdc578,Davi Miguel Freitas,1948-08-18,653.272.545-43,ES,2025-11-30
e7276dc4-9406-4966-8a6f-2bcdaf3f7c25,Augusto Campos,1976-11-21,610.341.833-83,PR,2025-01-04
04dc4874-5714-4c29-8ac6-ada789beed5c,Erick Siqueira,1964-04-17,948.393.893-58,MS,2025-09-05
d476484a-84ef-433e-87aa-bb5124580061,Brayan Lopes,1976-12-14,189.900.355-22,MG,2025-04-30
0b5c1f1b-87c1-474c-ad9b-ec9edd0057c6,Igor Moura,1954-06-02,600.484.566-99,RJ,2025-09-29
4fcec6a0-4d88-4b38-a006-7eab7acb0173,Carlos Eduardo Martins,1964-11-11,922.430.684-59,BA,2024-09-02
23b30d69-8717-4173-9a90-71ff329669b8,Erick Campos,1974-07-03,724.931.764-72,GO,2025-04-03
d43b6830-5cf9-4ad6-a379-97619fd41320,Emilly Novaes,1959-09-05,249.211.967-23,GO,2026-05-06
9aa16518-b849-4342-9457-56408e111875,Srta. Ana Sophia Rios,1971-04-07,115.501.405-58,PB,2025-03-10
cc3d6f32-eed5-440a-a837-b3a3af063383,Yago Castro,1962-08-03,350.933.807-44,RN,2025-12-15
a0cdc7ae-76b0-4d6a-8366-524a012068b5,Dra. Isabel da Cunha,2005-02-14,209.343.817-96,RN,2025-08-11
d2039c6f-2b3a-4d5f-aca2-7cabd1e83178,Sra. Raquel Caldeira,1937-08-14,970.141.102-57,AL,2025-02-17
522fa2e4-9b79-4d24-a765-7c188cea76dc,Isabel Vieira,1937-03-22,243.147.483-40,AL,2025-10-19
2175fbd6-ba8f-4aef-8f96-0425bee210b6,Dr. José Miguel Peixoto,1996-10-16,123.325.159-30,RN,2025-02-22
be26bbe0-bcf0-4dc1-8138-bbe3c6dd3e4e,Sr. Luan Sá,1943-11-03,319.229.688-94,MS,2026-05-05
d0c7973b-93cf-4be4-8138-5a141f6dd240,Thales Brito,2005-07-03,371.034.243-28,AC,2025-10-23
3d5b16b5-1169-43a0-b9d8-46d9e837c5d4,Stephany Nunes,1945-05-22,923.319.323-22,AL,2025-09-27
0702a065-dfd8-45d5-bf05-c9116c1701e0,Théo Abreu,1958-12-01,656.074.321-86,MS,2026-04-23
9a1dcda1-9303-460d-8f10-82ef3f8fd542,Brenda Dias,1957-11-17,092.845.501-42,MA,2024-10-14
4c369112-d5b3-40ec-8f7c-bbb1baa2dd50,Lucca Farias,1946-05-16,069.097.001-54,RR,2026-05-02
034a01b8-b0d1-4d17-a48b-92b4f8131537,Sr. Enzo Gabriel Jesus,2005-02-21,817.790.936-47,RO,2025-04-16
fd4e83d5-1242-45b7-a817-eb7f2d5901d7,Luna Macedo,1989-03-09,485.927.059-62,DF,2026-07-15
e995f898-7dbd-4d59-8acf-091011d66b0d,Esther Alves,1962-02-11,572.235.461-76,CE,2025-10-16
8498d671-4d30-428a-81f3-bbfb61d76fe6,Bryan Sá,1944-11-07,756.462.715-00,RR,2025-05-30
96f33319-1a70-4d60-ae2c-9895a5ee928c,Dr. Henrique Sales,1957-11-19,551.851.741-38,SC,2024-11-30
aaf21193-7639-4c77-a27e-de8532752322,Henrique Silva,1963-09-22,277.694.452-19,DF,2025-03-04
33bed848-8457-474b-8602-454f864e7e99,Antônio Ramos,1952-06-26,131.893.660-79,RR,2024-09-15
6687f6b2-54cc-4de8-a4d1-259cdccf91ff,Pietro Peixoto,1995-08-08,932.233.483-36,MA,2025-01-20
55437b61-b589-4954-a565-a9e6c2372dd8,Yan Gomes,1987-12-18,959.787.465-76,MA,2026-03-16
b688ccb4-3af2-40b6-93c1-e9ae38373d3b,Ana Vitória Azevedo,1975-03-06,564.317.352-93,MS,2026-06-26
992e1fe2-f416-4459-b4b9-8df9ab2de325,Alícia Guerra,1948-10-08,194.692.517-50,RO,2026-06-14
3f81829f-d115-4a1f-b27b-42c69db4c6c5,Gabrielly Costa,2008-03-20,599.524.858-22,PB,2024-09-08
696ddf16-d20e-4bde-b1f0-228346ad7bea,Mariah Cassiano,1965-01-25,410.087.353-67,RO,2025-09-20
33504104-36a1-4f95-a1d3-a42a4463dbfc,Maria Cecília Pacheco,1942-01-20,775.824.147-57,TO,2024-11-28
24c125ee-e356-4584-b265-e9a9e359efce,Srta. Sarah Rios,1942-11-08,159.029.652-58,RN,2025-03-17
98e67b4c-7941-450e-be46-540ddf0dab8d,Ana Novais,1964-01-26,039.936.598-56,BA,2024-12-17
2628aca1-7462-415c-b567-fc3403f79590,Srta. Camila Costa,1938-06-09,434.748.593-76,SE,2026-02-22
b78b627f-37c1-4644-bb52-737d2529531a,Ester Moraes,1980-11-17,143.644.075-50,RJ,2025-06-23
8e1f74c5-f341-48e5-9824-dfec93aa2a1a,Alexia Camargo,2000-06-01,725.163.556-78,PE,2026-02-25
44968313-0f6e-4610-bcd6-07166b9dacdb,Ana Cecília da Cunha,1953-08-06,477.602.813-80,MS,2025-10-11
429b8156-be9c-4380-86da-a08f84083be7,Ravi Jesus,1937-05-19,147.617.834-09,RS,2025-12-19
6ee5fa58-99b9-4ca5-a8f6-7e51449c5163,Dr. Arthur Gabriel Souza,1938-10-01,485.892.206-61,RN,2026-04-04
5cdd0556-9a6b-4dcf-9ec3-7902ce7b400c,Sr. Rhavi Brito,1966-02-06,084.757.032-61,RN,2025-05-26
b1ef0256-61c0-42a8-b0e3-51537f801742,Matheus Barros,1993-09-01,338.395.909-49,PE,2026-03-28
dd26bcaa-f858-44fa-a12e-20ae034d907b,Isabella Camargo,1971-11-12,948.863.960-72,SC,2025-05-22
bcadee25-872f-4308-ae65-f91748baa22a,Sra. Luísa Macedo,1980-06-24,815.315.577-79,RO,2026-06-21
f54b87bf-e189-4fd0-aa03-1e2c05980f83,Bruna Melo,1942-11-29,320.288.777-90,RR,2026-04-05
c2ae2ee7-114b-467a-b687-dd09eb798751,Yago Mendonça,1960-01-05,962.409.445-53,RS,2025-07-24
cf779278-8804-4d3f-96aa-e8057dec7e24,Erick Duarte,1982-07-28,193.629.740-06,CE,2025-05-03
4c832e2a-02a2-4fd4-ad5d-e8aa348a3129,Diego Melo,1939-02-08,516.473.563-29,SC,2026-04-02
24001695-12e4-4d55-a618-9ff4c9ef769d,Augusto Moreira,2006-01-25,018.274.440-67,PA,2026-02-11
2288a4c9-7c7d-4cc5-b5af-99b4dc44b856,Pedro Fogaça,1951-03-27,957.070.549-13,MS,2025-08-31
cab85e85-d147-4d60-811c-17f1cef70332,Nina Siqueira,2000-11-20,585.211.240-22,BA,2025-10-01
0d760921-3f95-4e74-b797-38185a6b9cd8,Srta. Alice Brito,1957-07-30,702.899.779-21,SE,2025-06-29
924eec25-32f1-47fb-b096-11a327f666ed,Aylla Nascimento,1999-11-29,685.598.904-85,DF,2024-11-14
dd078278-962e-4ba3-93b6-9b457a373f7d,Sr. Benjamim Barros,1943-07-30,973.960.265-19,SP,2026-05-27
fa230a91-821a-4f27-abf5-abfa2b2fb44f,Hellena Guerra,1965-07-16,759.141.145-98,ES,2024-10-16
a8d70d8f-0799-4dd2-9e29-0d8f65d98867,Ágatha Nunes,1941-04-07,880.152.736-48,RJ,2025-10-20
40eb1671-e2f4-478f-ab6c-8899b66081f5,Daniela das Neves,1975-06-23,056.921.060-62,RN,2025-04-01
70b6bf5e-8627-40db-84c4-dbffc81c5197,Maria Clara Fogaça,1939-01-23,695.127.700-18,MG,2025-07-07
7574bc62-8dba-4cdd-b871-ecf467fbe2f7,Isaque Sá,1966-07-24,632.153.456-68,AL,2025-04-07
4dfc44c3-aa8a-42e6-bd30-b517f293b452,Gael Henrique Correia,1976-07-02,727.130.008-67,CE,2025-10-13
c7df5f3d-31ed-4ef4-84e3-dbdd072b4c5f,Sra. Maitê Azevedo,1968-03-13,257.852.053-06,GO,2025-05-11
7ea961cf-cf72-48e7-a3f2-eb7b0c6f8a95,Benjamim Sá,1952-02-27,967.167.337-16,DF,2026-02-18
4515e7e5-bc2a-4dca-988e-2a21ffbf3a5e,Cauã Leão,1939-05-09,105.222.404-21,ES,2025-10-19
db298ec6-5dcc-4117-96ee-7cbf48b30a7c,João Miguel Nogueira,1981-04-26,358.749.758-29,RN,2025-10-07
186f9da2-1af7-4c7e-a8df-ff20b3e29741,Mariah Vargas,1968-06-30,140.719.080-21,CE,2024-11-03
cd0468b6-df4f-4ca3-8017-af912dd7bea9,Paulo Cavalcanti,1951-09-07,987.610.191-24,RO,2024-12-16
1bbd930c-ed42-4682-9607-0cab47f81aea,João Pedro Pastor,1966-10-26,834.199.252-87,MS,2025-02-04
e61d0647-b71a-4efe-8c75-59a342f033a6,Isaac da Mota,1986-02-05,005.295.584-27,RN,2024-08-26
6197dcea-9e19-42e3-b76c-63ba0f2aa706,Lívia Costela,1976-02-02,976.344.522-32,BA,2025-06-14
2a3fd8d8-0d5b-4bdf-ab4d-5969337fe8fc,Otto da Rosa,1960-07-06,530.871.627-46,RO,2026-05-19
734558bb-6e34-49b7-b1c8-434ee227271c,Ana Sophia Cassiano,1962-04-30,753.081.968-60,DF,2025-04-03
aa38ad71-8f15-48be-bed5-17ce446d49e8,Miguel da Cruz,1959-08-08,360.753.528-05,SC,2024-12-03
9bd06314-73f4-45b2-bcc3-bde75462119d,Dr. Caio Dias,1968-03-09,604.294.939-86,SE,2026-01-06
96d113c7-9f69-41ac-bef8-c004337cb698,João Gabriel da Cruz,1972-07-07,749.201.838-53,CE,2025-03-10
5ad59711-3eec-4316-87cd-792869d6f275,Ravi Lucca Andrade,1947-03-14,324.402.798-75,ES,2025-08-19
f67f5c83-aa11-4529-ba9d-e1164f5db5ac,Rael da Rosa,1948-09-19,032.949.951-91,DF,2025-05-04
fa429e4d-25f8-423e-9a04-fe207bc74555,Rafael Siqueira,1943-05-12,178.253.343-07,RO,2024-11-18
63074ab7-34ce-45af-b9c4-b9eebe59b572,Renan Rios,1947-12-14,204.617.779-34,RJ,2026-03-07
c5f97653-e919-4702-854d-72bd4874cefd,Nicolas Campos,1978-01-12,135.934.194-74,AL,2026-08-22
019aa890-3c7c-423c-9012-5685c4d336d1,Maitê Cunha,1982-11-09,216.922.206-42,MT,2025-01-03
e9522efb-eca3-4b75-bf4f-8aa797d32781,Luiz Miguel Nogueira,1989-02-20,985.663.068-20,PB,2025-04-14
19b95808-6a6f-4b62-9cea-78df2086d15d,Allana Guerra,1961-07-23,975.193.497-98,RR,2026-04-04
a3dee8a4-0d58-42dd-960d-4fd443afae7e,Maria Luiza Pastor,1985-10-03,616.306.415-12,GO,2026-06-10
226dd2a7-645b-499f-adbc-2ffb9eeb64d6,Alexandre Barros,1970-12-05,692.971.286-49,AM,2025-09-05
66d055bd-4dcd-4f2c-ba78-43cebdc1d274,Caio Cassiano,1989-08-17,842.159.585-20,MG,2025-01-11
7a68d7de-cc80-407a-8c74-7b5e1916d2f6,Rael Sampaio,1976-07-09,057.044.836-10,PR,2025-09-28
09ff582d-a3f5-40b0-9bc8-1ac39e9c54ce,Vitória da Luz,1968-05-21,389.566.619-47,AL,2025-02-17
f2b5c8ba-b60e-4777-8323-801e35461890,Sr. Antônio Teixeira,2006-09-19,676.031.349-40,SP,2024-10-28
26226838-9121-4eee-b4d3-1efda7d1527f,Letícia Vieira,2002-08-20,150.459.172-59,AM,2026-03-22
97df9d10-4b39-41b3-8d6a-fe814fe12414,Davi Luiz Vargas,1993-09-16,826.428.166-52,TO,2026-06-01
fa4c68a8-904e-45b2-afb8-27fc4ed5c399,Sara Ribeiro,1982-02-01,133.391.174-40,PE,2025-01-17
1e5fbe36-9179-4126-aca5-cf2c9aae4b7c,Rebeca Machado,1987-11-28,094.785.616-27,AP,2025-06-20
a07339a2-c59d-488c-b55a-1e028dff9d95,Sabrina Vasconcelos,2000-10-25,085.407.914-03,ES,2024-08-31
4dd7adae-745d-4224-83f9-1e0b70e84677,Sr. Benicio Gonçalves,1991-12-31,501.266.523-14,SP,2026-08-20
cfc724e2-de41-4c6f-9342-d0643e1a7cca,Lucas Gabriel Siqueira,1947-09-29,945.210.578-11,TO,2025-03-10
fa91ee8c-75a0-4b75-b29a-694f135939a1,Sr. Felipe da Costa,1969-10-10,232.838.302-53,AL,2025-08-25
7270a05a-3d6c-474d-8bb4-37ddda6efc97,Nicolas Rocha,1944-10-25,815.504.457-29,AP,2026-06-25
59273343-6a54-44c3-842f-c9d97082359e,Maria Flor da Cunha,1973-06-27,243.901.541-53,RS,2025-09-08
761c3ded-e371-475a-8561-2ab5614b5666,Breno Gonçalves,2004-03-24,053.531.652-09,PB,2025-05-08
a66f235e-e2f7-4831-b072-0352c14d5a20,Gustavo Henrique Oliveira,1993-03-07,092.899.278-30,PR,2024-11-22
c76f76c5-d7d2-497c-b20b-40bfc0b8d52c,Dra. Ana Laura Sampaio,1935-09-13,085.320.545-81,MG,2024-11-10
9b2a4f0e-2e5e-4ae0-a02b-1b0b896eb2a4,Augusto da Luz,1997-02-11,221.925.240-28,AL,2026-01-24
1b3b0654-b914-4aa9-a646-ea3252372843,Sra. Hadassa da Rocha,1974-01-11,682.571.906-83,ES,2026-04-24
04934cd2-23e5-4150-af75-663ae533d194,Bruna Guerra,1950-03-10,131.198.445-59,AC,2024-12-03
636dcaa0-cf0e-46a8-a254-86a7ba96d0a4,Gabriel Nunes,1943-12-18,086.318.801-30,MG,2026-06-27
0aab437f-cd9d-49f3-99df-2ec05f947faf,Ana Clara da Rocha,1937-08-12,010.044.060-73,SP,2024-10-05
f5c32556-55af-4aac-95cf-78c51190d580,João Pedro Fernandes,1955-01-22,463.632.310-04,GO,2026-01-22
551f6ed5-29bf-474d-8cd2-2a9391838d3b,Carlos Eduardo Sales,1993-12-31,043.282.094-45,RN,2026-01-11
2a57db04-98c8-496f-a0ac-48d064aae8f6,Sr. Davi Lucas Rios,1940-06-12,365.887.017-62,AC,2025-08-22
c0abcdb1-144a-402b-97de-9ad091d38079,Maria Clara Teixeira,1991-03-25,857.626.108-94,RN,2025-01-29
08019322-538d-460b-85c8-fdce6cd0f21a,Sr. João Cavalcante,2008-07-08,755.453.633-59,MG,2026-05-04
98f0518b-5c88-47e6-9a4a-2c978d7d7e0c,Srta. Isadora Leão,1978-11-03,601.523.650-81,PA,2025-01-16
fb4cd8c2-60b5-4724-a596-a4e608c88845,Brayan Marques,1989-06-06,780.590.213-41,DF,2025-10-26
3176d997-274b-40dc-9704-682926dab7c2,Sara Monteiro,1947-09-13,092.806.363-96,MT,2026-01-24
14f201a1-1050-424f-a577-09ab07560950,João Oliveira,1954-01-30,785.490.253-56,AM,2025-07-19
503c1877-722b-4f26-88f8-9f52b3e1128a,Pietra Gomes,1972-03-07,860.832.795-67,MS,2026-03-30
db6bed08-16a8-4181-a4de-3c05abdd6e80,Mariana Garcia,1988-08-07,425.546.085-26,RO,2025-07-26
0f927f8a-5d05-4820-9cbb-683a72779117,Brenda Barros,1989-04-06,510.148.209-96,PA,2025-11-15
c5ad3b66-dd84-4fd2-8f12-05924b99c553,Cecília Cardoso,1937-02-20,072.700.034-64,CE,2024-09-26
f26393dc-50ba-4299-88a3-82f3bdbbde1a,Aylla Siqueira,2005-01-30,481.880.015-61,SP,2026-06-10
e7220503-79df-4c4b-b3e3-257a2d78fc00,Srta. Melina Garcia,1964-02-18,459.035.670-73,GO,2025-07-04
fa440bb3-89ff-4239-92f9-c0a40e2ba8b4,Nicolas da Mota,2003-06-07,669.313.300-47,RN,2025-08-23
5781086e-8627-4fa1-baad-5c74a3c10b10,Sr. Levi Silva,1950-02-15,298.614.295-46,CE,2026-05-15
a876f52e-55a5-49af-907a-05174d1751d8,Valentim Santos,2006-11-13,803.099.195-05,DF,2025-05-23
c8e93c4c-182a-46cb-a525-689f2ba9fa79,Sara Alves,1942-07-15,261.326.752-49,RO,2025-02-22
4468e1f4-8adf-41f6-b46b-7f84470b766c,Lucas Albuquerque,1987-10-27,477.346.364-43,SE,2024-10-19
7b1590ce-8d6d-4eab-8fdb-b9aec44ebbce,Eloá Santos,1952-07-25,535.432.916-02,MS,2024-08-25
32e3e0c2-752c-4110-b10e-271619bd83e1,Daniel Câmara,1952-05-24,012.503.551-76,SP,2025-07-04
3e07bad1-d1b9-4509-a91c-c5926a38374b,Théo Lopes,1995-11-21,532.786.212-44,RN,2025-12-21
69efc68a-da6e-401c-9699-cc5109e934e7,Allana Câmara,1979-06-02,840.090.195-53,GO,2025-01-28
4dee005b-0df2-46bf-b40b-d763debd91df,Pietro Sá,1945-06-02,295.578.421-59,GO,2025-02-17
26bf913c-1080-4bbe-80ac-30526ccc26bc,Maria Eduarda Araújo,1937-08-21,210.018.244-33,PE,2025-07-20
84d015b1-3a49-4d67-8898-2b4117d85895,Sarah Mendonça,2000-01-19,992.007.491-45,RR,2025-12-06
e899e8b2-6fb5-4b00-b4ca-6b6ff7098280,Yan Ramos,1997-02-05,826.073.711-59,RJ,2025-06-28
e153d45d-313a-4683-a33c-32433fd3b159,Laís da Rosa,1983-12-12,060.386.146-48,PE,2025-03-23
24c8c4d8-2122-4fad-aa03-baf6eac702db,Cecília Silva,1966-10-06,110.934.319-15,AC,2026-05-13
d604dd07-a506-42fe-93bf-c886f77504c3,Bruno Araújo,1965-01-11,986.631.884-49,SC,2024-12-17
45ba6023-a9ef-4f4e-9b69-6a49d476ded0,Felipe Ribeiro,1988-05-27,318.140.533-49,PI,2024-12-21
5b2b9523-13ee-4d3e-925e-7d518ef5134f,Ana Sophia Moura,1963-11-23,275.123.784-46,SC,2026-03-05
b3160a26-4aee-4472-a9e4-835bbfda7baf,Larissa Machado,1948-06-05,089.270.764-24,RO,2026-05-08
c8bee136-5d88-4e6f-8a2f-67df77897c14,Maria Isis Mendes,1944-05-30,353.659.967-27,AP,2026-06-16
ececaf9c-6df8-44e6-a4b7-ed6dae84a32d,Apollo Leão,1981-05-04,590.271.276-42,RS,2026-04-07
391f879b-6141-4010-b5c7-3ca674b3f023,Raul Monteiro,1943-10-12,021.186.431-04,AL,2026-04-03
7b750932-7047-4c6f-aaaa-98dcba1b4b30,João Miguel Peixoto,2002-11-12,615.213.728-67,MS,2025-11-14
23bceadc-db7f-458f-aade-b7ac62cb900c,Sra. Olivia Rocha,2004-01-15,968.587.617-52,RJ,2025-02-17
4f356daa-c29f-4b97-ab98-d65305cb8fb8,Sr. Enzo Gabriel Montenegro,1959-09-21,767.327.774-21,PB,2024-10-03
8d54fa1c-e7c9-49de-bbbd-eec70b456790,Gael Vieira,1963-02-08,852.213.097-02,PE,2026-06-04
a1f0b978-7ba7-45bf-88a0-f3ec97085d74,Olívia Silveira,1941-04-17,582.908.628-38,PB,2026-02-05
f21fb879-ec04-4293-8b96-34ad64dab006,Diogo Vieira,1988-02-14,160.601.361-21,DF,2025-03-20
854e11e3-d9b8-44e1-9eff-242f232ca2e2,Benjamim Câmara,1942-12-27,009.998.309-56,PE,2024-09-02
de7ebe7a-7050-48cc-b8c3-7de9b561ab83,Luiza Sales,1978-11-20,832.984.975-57,SE,2024-11-13
560f8af7-27c0-4f1c-b0de-2ff4ee873157,Maysa Souza,1980-03-02,789.888.154-56,BA,2026-01-02
00c50434-6e0a-498d-b088-ad19cffb362c,Emanuelly Fernandes,1975-07-27,146.552.660-63,MG,2025-09-30
dd5efcb6-31f3-4675-a1e9-46dde50a5656,Maria Cecília Freitas,1943-11-18,013.587.244-71,MS,2025-11-24
bec6338d-bdbb-4228-ba68-c5849167174b,Dom Peixoto,1955-01-10,954.720.095-48,CE,2025-01-02
f4fdf908-3eee-45aa-8cf4-5a650a80872d,Rebeca Silveira,1963-09-03,513.795.472-90,TO,2025-08-15
d3f4abdc-0c4c-4435-bb53-e5beacf500e6,Amanda Correia,1964-10-21,207.885.077-93,RS,2026-05-12
05f7b933-8a95-47f0-9c6d-03ab6262811a,Cecilia Barbosa,1973-09-11,428.714.901-87,MA,2026-04-04
b0764ff3-eb19-4c94-bf43-30f995b1de08,Olivia Fonseca,1965-05-04,770.468.261-52,DF,2026-07-12
5c95107e-ffdc-44e4-9afd-39ecc082e397,Ravy Lima,1977-12-26,626.905.777-03,MA,2024-12-24
901232cb-89b9-4129-875a-5d6af3b2b824,Liam Ribeiro,2004-06-19,994.493.468-75,SP,2025-06-16
3d42788e-db61-4c06-aabe-16bf3a851de8,Melina Macedo,1960-05-12,141.632.947-87,PR,2025-09-04
869396a2-d1fc-4689-bb63-63ea2ae6d759,Sr. Igor da Costa,2002-09-19,681.703.877-50,AL,2024-10-21
7f051b60-3713-4315-93aa-aeb9aba8c0b0,Isabelly Pastor,1954-08-29,483.543.847-60,SE,2026-03-13
be54a5b4-a925-46e2-a999-0e4f2f8468a0,Alana Ramos,1998-01-05,414.961.822-73,PR,2025-06-03
7e2162c5-2c7a-4365-ad54-142f85d31241,Bento Cardoso,1964-06-18,948.558.903-65,SP,2025-09-13
c84d76ae-a842-43e0-a28c-49b4fc3d9b85,Maria Farias,1943-10-10,143.940.261-30,PA,2024-11-03
